"year","category","birthyear","gender","name"
"1983","physics","1911","M","William Fowler"
"1983","literature","1911","M","William Golding"
"1972","chemistry","1911","M","William Stein"
"1973","literature","1912","M","Patrick White"
"1976","economics","1912","M","Milton Friedman"
"1979","chemistry","1912","M","Herbert Brown"
"1964","medicine","1912","M","Konrad Bloch"
"1952","physics","1912","M","Edward Purcell"
"1970","medicine","1912","M","Julius Axelrod"
"1974","medicine","1912","M","George Palade"
"1951","chemistry","1912","M","Glenn Seaborg"
"1975","economics","1912","M","Leonid Kantorovich"
"1969","medicine","1912","M","Salvador Luria"
"1989","physics","1913","M","Wolfgang Paul"
"1981","medicine","1913","M","Roger Sperry"
"1972","chemistry","1913","M","Stanford Moore"
"1957","literature","1913","M","Albert Camus"
"1984","economics","1913","M","Richard Stone"
"1978","peace","1913","M","Menachem Begin"
"1985","literature","1913","M","Claude Simon"
"1955","physics","1913","M","Willis Lamb"
"1971","peace","1913","M","Willy Brandt"
"1990","literature","1914","M","Octavio Paz"
"1975","medicine","1914","M","Renato Dulbecco"
"1963","medicine","1914","M","Alan Hodgkin"
"1952","chemistry","1914","M","Richard Synge"
"1962","chemistry","1914","M","Max Perutz"
"1970","peace","1914","M","Norman Borlaug"
"1996","economics","1914","M","William Vickrey"
"1954","medicine","1915","M","Thomas Weller"
"1970","economics","1915","M","Paul Samuelson"
"1960","medicine","1915","M","Peter Medawar"
"1983","chemistry","1915","M","Henry Taube"
"1961","physics","1915","M","Robert Hofstadter"
"1976","literature","1915","M","Saul Bellow"
"1964","physics","1915","M","Charles Townes"
"1994","physics","1915","M","Clifford Shull"
"1954","medicine","1916","M","Frederick Robbins"
"1978","economics","1916","M","Herbert Simon"
"1998","medicine","1916","M","Robert Furchgott"
"1982","medicine","1916","M","Sune Bergström"
"2003","physics","1916","M","Vitaly Ginzburg"
"1980","medicine","1916","M","Jean Dausset"
"1962","medicine","1916","M","Francis Crick"
"1962","medicine","1916","M","Maurice Wilkins"
"1972","chemistry","1916","M","Christian Anfinsen"
"1989","literature","1916","M","Camilo Cela"
"1972","medicine","1917","M","Rodney Porter"
"1972","literature","1917","M","Heinrich Böll"
"1985","chemistry","1917","M","Herbert Hauptman"
"1975","chemistry","1917","M","John Cornforth"
"1962","chemistry","1917","M","John Kendrew"
"1965","chemistry","1917","M","Robert Woodward"
"1963","medicine","1917","M","Andrew Huxley"
"2007","economics","1917","M","Leonid Hurwicz"
"1977","chemistry","1917","M","Ilya Prigogine"
"2001","chemistry","1917","M","William Knowles"
"1973","chemistry","1918","M","Ernst Fischer"
"1995","physics","1918","M","Frederick Reines"
"1958","chemistry","1918","M","Frederick Sanger"
"1997","chemistry","1918","M","Paul Boyer"
"1969","chemistry","1918","M","Derek Barton"
"1981","economics","1918","M","James Tobin"
"1995","medicine","1918","M","Edward Lewis"
"1992","medicine","1918","M","Edwin Krebs"
"1965","physics","1918","M","Julian Schwinger"
"1981","physics","1918","M","Kai Siegbahn"
"1959","medicine","1918","M","Arthur Kornberg"
"1970","literature","1918","M","Aleksandr Solzhenitsyn"
"1965","physics","1918","M","Richard Feynman"
"1988","medicine","1918","F","Gertrude Elion"
"1994","physics","1918","M","Bertram Brockhouse"
"1997","chemistry","1918","M","Jens Skou"
"1985","chemistry","1918","M","Jerome Karle"
"1985","economics","1918","M","Franco Modigliani"
"1993","peace","1918","M","Nelson Mandela"
"1981","chemistry","1918","M","Kenichi Fukui"
"1979","medicine","1919","M","Godfrey Hounsfield"
"1987","chemistry","1919","M","Donald Cram"
"2007","literature","1919","F","Doris Lessing"
"1990","medicine","1919","M","Joseph Murray"
"1976","chemistry","1919","M","William Lipscomb"
"1978","chemistry","1920","M","Peter Mitchell"
"1980","economics","1920","M","Lawrence Klein"
"1993","economics","1920","M","Douglass North"
"1990","medicine","1920","M","E. Thomas"
"1992","medicine","1920","M","Edmond Fischer"
"1994","economics","1920","M","John Harsanyi"
"1980","medicine","1920","M","Baruj Benacerraf"
"1959","physics","1920","M","Owen Chamberlain"
"1967","chemistry","1920","M","George Porter"
"1965","medicine","1920","M","François Jacob"
"1981","physics","1920","M","Nicolaas Bloembergen"
"1988","physics","1921","M","Jack Steinberger"
"2005","economics","1921","M","Thomas Schelling"
"2008","physics","1921","M","Yoichiro Nambu"
"1973","chemistry","1921","M","Geoffrey Wilkinson"
"1977","medicine","1921","F","Rosalyn Yalow"
"1981","physics","1921","M","Arthur Schawlow"
"1984","chemistry","1921","M","Robert Merrifield"
"1975","peace","1921","M","Andrei Sakharov"
"1972","economics","1921","M","Kenneth Arrow"
"1989","physics","1922","M","Hans Dehmelt"
"1994","peace","1922","M","Yitzhak Rabin"
"1968","medicine","1922","M","Har Khorana"
"1968","medicine","1922","M","Robert Holley"
"1988","physics","1922","M","Leon Lederman"
"1975","physics","1922","M","Aage Bohr"
"1998","literature","1922","M","José Saramago"
"2000","physics","1923","M","Jack Kilby"
"1992","chemistry","1923","M","Rudolph Marcus"
"1980","physics","1923","M","Val Fitch"
"1994","peace","1923","M","Shimon Peres"
"1973","peace","1923","M","Henry Kissinger"
"2000","medicine","1923","M","Arvid Carlsson"
"1977","physics","1923","M","Philip Anderson"
"1991","literature","1923","F","Nadine Gordimer"
"1998","chemistry","1923","M","Walter Kohn"
"2012","economics","1923","M","Lloyd Shapley"
"1990","economics","1923","M","Merton Miller"
"1977","medicine","1924","M","Roger Guillemin"
"1981","medicine","1924","M","Torsten Wiesel"
"1974","physics","1924","M","Antony Hewish"
"1987","economics","1924","M","Robert Solow"
"1992","physics","1924","M","Georges Charpak"
"2002","peace","1924","M","Jimmy Carter"
"1979","medicine","1924","M","Allan Cormack"
"2009","physics","1924","M","Willard Boyle"
"2000","medicine","1925","M","Paul Greengard"
"2005","physics","1925","M","Roy Glauber"
"1958","medicine","1925","M","Joshua Lederberg"
"1976","medicine","1925","M","Baruch Blumberg"
"2007","medicine","1925","M","Oliver Smithies"
"1973","physics","1925","M","Leo Esaki"
"1994","medicine","1925","M","Martin Rodbell"
"1998","chemistry","1925","M","John Pople"
"2000","peace","1925","M","Kim Dae-jung"
"2004","chemistry","1926","M","Irwin Rose"
"1980","chemistry","1926","M","Paul Berg"
"1960","physics","1926","M","Donald Glaser"
"1957","physics","1926","M","Tsung-Dao Lee"
"1990","physics","1926","M","Henry Kendall"
"1993","economics","1926","M","Robert Fogel"
"1997","literature","1926","M","Dario Fo"
"1981","medicine","1926","M","David Hubel"
"1975","physics","1926","M","Ben Mottelson"
"1977","medicine","1926","M","Andrew Schally"
"2002","physics","1926","M","Masatoshi Koshiba"
"1982","chemistry","1926","M","Aaron Klug"
"1979","physics","1926","M","Abdus Salam"
"1967","chemistry","1927","M","Manfred Eigen"
"1999","literature","1927","M","Günter Grass"
"1994","chemistry","1927","M","George Olah"
"1990","economics","1927","M","Harry Markowitz"
"1968","medicine","1927","M","Marshall Nirenberg"
"1987","physics","1927","M","K. Müller"
